,source,num_labeled,percent_broken,pretrained,test,val,score
cmapss_two_baseline,2,4.0,0.8,autoencoder,28.56363296508789,29.3509464263916,45342.1875
cmapss_two_baseline,2,4.0,0.8,autoencoder,24.685205459594727,25.58806610107422,19910.38671875
cmapss_two_baseline,2,20.0,0.8,autoencoder,22.434951782226562,22.764142990112305,6418.2470703125
cmapss_two_baseline,2,20.0,0.8,autoencoder,25.181793212890625,25.72797966003418,12181.5703125
cmapss_two_baseline,2,20.0,0.8,autoencoder,22.821338653564453,24.925060272216797,12495.984375
cmapss_two_baseline,2,20.0,0.8,autoencoder,22.740554809570312,23.749828338623047,9472.2109375
cmapss_two_baseline,2,20.0,0.8,autoencoder,23.560508728027344,23.408336639404297,23941.947265625
cmapss_two_baseline,2,20.0,0.8,autoencoder,22.891511917114258,24.244905471801758,6128.4365234375
cmapss_two_baseline,2,20.0,0.8,autoencoder,22.604454040527344,23.26411247253418,8756.837890625
cmapss_two_baseline,2,20.0,0.8,autoencoder,23.446897506713867,24.766483306884766,8772.341796875
cmapss_two_baseline,2,20.0,0.8,autoencoder,22.76913070678711,23.257572174072266,8498.6181640625
cmapss_two_baseline,2,20.0,0.8,autoencoder,24.494380950927734,24.09130859375,59631.2421875
cmapss_two_baseline,2,41.0,0.8,autoencoder,22.4970645904541,22.686491012573242,7093.75146484375
cmapss_two_baseline,2,41.0,0.8,autoencoder,20.711132049560547,21.883909225463867,4786.79150390625
cmapss_two_baseline,2,41.0,0.8,autoencoder,20.99692726135254,21.55047607421875,5831.9072265625
cmapss_two_baseline,2,41.0,0.8,autoencoder,21.679515838623047,21.470380783081055,3987.12646484375
cmapss_two_baseline,2,41.0,0.8,autoencoder,22.895999908447266,22.598752975463867,13876.7421875
cmapss_two_baseline,2,41.0,0.8,autoencoder,20.77385902404785,22.63533592224121,4113.72021484375
cmapss_two_baseline,2,41.0,0.8,autoencoder,22.50145149230957,22.945301055908203,18977.23828125
cmapss_two_baseline,2,41.0,0.8,autoencoder,22.439105987548828,23.679298400878906,8098.52685546875
cmapss_two_baseline,2,41.0,0.8,autoencoder,23.019407272338867,22.684314727783203,5957.91259765625
cmapss_two_baseline,2,41.0,0.8,autoencoder,21.138484954833984,22.759502410888672,4879.470703125
cmapss_two_baseline,2,83.0,0.8,autoencoder,20.224035263061523,21.288433074951172,6302.1689453125
cmapss_two_baseline,2,83.0,0.8,autoencoder,21.02452850341797,21.052040100097656,6882.5361328125
cmapss_two_baseline,2,83.0,0.8,autoencoder,19.797021865844727,21.3262939453125,3849.03759765625
cmapss_two_baseline,2,83.0,0.8,autoencoder,19.228254318237305,20.550296783447266,2437.146484375
cmapss_two_baseline,2,83.0,0.8,autoencoder,20.910003662109375,21.135862350463867,9594.66796875
cmapss_two_baseline,2,83.0,0.8,autoencoder,18.24205780029297,19.54537010192871,2326.36865234375
cmapss_two_baseline,2,83.0,0.8,autoencoder,20.616085052490234,21.23553466796875,4118.52685546875
cmapss_two_baseline,2,83.0,0.8,autoencoder,19.30817985534668,20.232511520385742,2678.10595703125
cmapss_two_baseline,2,83.0,0.8,autoencoder,20.57282066345215,21.160865783691406,3956.3955078125
cmapss_two_baseline,2,83.0,0.8,autoencoder,19.25998878479004,21.21127700805664,3690.2109375
cmapss_two_baseline,2,208.0,0.8,autoencoder,17.153657913208008,18.370859146118164,1573.723876953125
cmapss_two_baseline,2,208.0,0.8,autoencoder,17.389625549316406,18.5847225189209,1714.8206787109375
cmapss_two_baseline,2,208.0,0.8,autoencoder,17.683618545532227,18.9151554107666,1701.307861328125
cmapss_two_baseline,2,208.0,0.8,autoencoder,17.48150634765625,19.01878547668457,1673.8482666015625
